product_id,category_id,product_name,brand,price,stock_keeping_unit,created_at
1,1,"Smart TV 43 Inch",Samsung,45000.00,SKU001,"2026-05-25 17:03:23"
2,4,"iPhone 14",Apple,79999.00,SKU002,"2026-05-25 17:03:23"
3,5,"Gaming Laptop",Dell,95000.00,SKU003,"2026-05-25 17:03:23"
4,2,"Men T-Shirt",Nike,999.00,SKU004,"2026-05-25 17:03:23"
5,6,"Running Shoes",Adidas,2999.00,SKU005,"2026-05-25 17:03:23"
6,7,"SQL Learning Book",Pearson,799.00,SKU006,"2026-05-25 17:03:23"
7,8,"Office Chair",Ikea,5999.00,SKU007,"2026-05-25 17:03:23"
8,9,"Face Cream",Lakme,499.00,SKU008,"2026-05-25 17:03:23"
9,10,"Cricket Bat",SS,2499.00,SKU009,"2026-05-25 17:03:23"
10,11,"Remote Car",Funskool,1299.00,SKU010,"2026-05-25 17:03:23"
11,12,"Gold Necklace",Tanishq,25000.00,SKU011,"2026-05-25 17:03:23"
12,13,"Washing Machine",LG,32000.00,SKU012,"2026-05-25 17:03:23"
13,14,"Mixer Grinder",Prestige,3499.00,SKU013,"2026-05-25 17:03:23"
14,15,"PlayStation 5",Sony,55000.00,SKU014,"2026-05-25 17:03:23"
15,16,"Phone Case",Spigen,699.00,SKU015,"2026-05-25 17:03:23"
16,17,"Vitamin Tablets",Himalaya,399.00,SKU016,"2026-05-25 17:03:23"
17,18,"Yoga Mat",Puma,1499.00,SKU017,"2026-05-25 17:03:23"
18,19,"Dog Food",Pedigree,899.00,SKU018,"2026-05-25 17:03:23"
19,20,"Notebook Pack",Classmate,299.00,SKU019,"2026-05-25 17:03:23"
20,21,"Baby Lotion",Johnson,399.00,SKU020,"2026-05-25 17:03:23"
21,22,"Bluetooth Speaker",JBL,2999.00,SKU021,"2026-05-25 17:03:23"
22,23,"DSLR Camera",Canon,65000.00,SKU022,"2026-05-25 17:03:23"
23,24,"Car Vacuum Cleaner",Bosch,3999.00,SKU023,"2026-05-25 17:03:23"
24,25,"Garden Hose",Cello,999.00,SKU024,"2026-05-25 17:03:23"
25,26,"Office Desk",Godrej,7999.00,SKU025,"2026-05-25 17:03:23"
26,27,"Travel Bag",Safari,2499.00,SKU026,"2026-05-25 17:03:23"
27,28,"Camping Tent",Quechua,6999.00,SKU027,"2026-05-25 17:03:23"
28,29,"Smart Watch",Noise,3499.00,SKU028,"2026-05-25 17:03:23"
29,30,"Antivirus Software","Quick Heal",1999.00,SKU029,"2026-05-25 17:03:23"
30,31,"Luxury Watch",Titan,7999.00,SKU030,"2026-05-25 17:03:23"
31,32,"School Backpack",Skybags,1499.00,SKU031,"2026-05-25 17:03:23"
32,33,"Wall Painting","Asian Paints",2999.00,SKU032,"2026-05-25 17:03:23"
33,34,"LED Lamp",Philips,899.00,SKU033,"2026-05-25 17:03:23"
34,35,"Drill Machine",Black+Decker,4599.00,SKU034,"2026-05-25 17:03:23"
35,36,"Industrial Gloves",3M,599.00,SKU035,"2026-05-25 17:03:23"
36,37,"Medical Kit",Omron,2499.00,SKU036,"2026-05-25 17:03:23"
37,38,"Canvas Art Set",Camel,1499.00,SKU037,"2026-05-25 17:03:23"
38,39,"Craft Paper Pack","JK Paper",499.00,SKU038,"2026-05-25 17:03:23"
39,40,"Online Course",Udemy,2999.00,SKU039,"2026-05-25 17:03:23"
40,1,"Bluetooth Earbuds",Boat,1999.00,SKU040,"2026-05-25 17:03:23"
